name,age,position,team
Nick Quintana,28,3B,Detroit Tigers
Logan Wyatt,28,1B,San Francisco Giants
Matt Gorski,28,1B,Pittsburgh Pirates
Beau Philip,27,SS,Atlanta Braves
Aaron Schunk,28,SS,Colorado Rockies
Chase Strumpf,27,3B,Chicago Cubs
Josh Smith,28,SS,New York Yankees
Grae Kessinger,28,3B,Houston Astros
Zach Watson,28,CF,Baltimore Orioles
Peyton Burdick,28,CF,Miami Marlins
Andre Lipcius,27,2B,Detroit Tigers
Spencer Steer,28,1B,Minnesota Twins
Tristin English,28,OF,Arizona Diamondbacks
Drew Mendoza,28,3B,Washington Nationals
Matt Fraizer,28,CF,Pittsburgh Pirates
Jake Sanford,28,CF,New York Yankees
Jordan Brewer,28,CF,Houston Astros
Joey Ortiz,27,SS,Baltimore Orioles
Evan Edwards,28,1B,Miami Marlins
Ryan Kreidler,28,CF,Detroit Tigers
Tyler Fitzgerald,28,2B,San Francisco Giants
Will Robertson,28,LF,Toronto Blue Jays
Jake Mangum,29,LF,New York Mets
Seth Gray,27,3B,Minnesota Twins
Nick Kahle,27,C,Milwaukee Brewers
Kyle McCann,28,C,Athletics
John Rave,28,RF,Kansas City Royals
Bryant Packard,28,LF,Detroit Tigers
Kellen Strahm,28,RF,Texas Rangers
Tanner Morris,28,2B,Toronto Blue Jays
Will Holland,27,SS,Minnesota Twins
Austin Shenton,28,1B,Seattle Mariners
Thomas Dillard,28,C,Milwaukee Brewers
Jaxx Groshans,27,C,Boston Red Sox
Maverick Handley,27,C,Baltimore Orioles
